GeneName(ProteinName)	Pathogenicity	Condition:TM-NOTM	Value
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNA3(Kv1.3)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNA4(Kv1.4)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNA5(Kv1.5)	Pathogenic	TM	0
	Polymorphism	TM	4.545454545
	Pathogenic	NOTM	5.590043485
	Polymorphism	NOTM	8.923376819
KCNA6(Kv1.6)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNA7(Kv1.7)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	3.86002886
KCNA10(Kv1.8)	Pathogenic	TM	0
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	0
	Polymorphism	NOTM	3.125
KCNB1(Kv2.1)	Pathogenic	TM	17.301089715
	Polymorphism	TM	0
	Pathogenic	NOTM	7.5
	Polymorphism	NOTM	0.913242009
KCNB2(Kv2.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.205338809
KCNC1(Kv3.1)	Pathogenic	TM	4.347826087
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNC2(Kv3.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNC3(Kv3.3)	Pathogenic	TM	22.13438735
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	1.034482759
KCNC4(Kv3.4)	Pathogenic	TM	0
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	0
	Polymorphism	NOTM	1.226993865
KCND1(Kv4.1)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCND2(Kv4.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCND3(Kv4.3)	Pathogenic	TM	9.523809524
	Polymorphism	TM	0
	Pathogenic	NOTM	8.685770751
	Polymorphism	NOTM	5.263157895
KCNF1(Kv5.1)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNG1(Kv6.1)	Pathogenic	TM	0
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNG2(Kv6.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNG3(Kv6.3)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNG4(Kv6.4)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	22.346002626
KCNQ1(Kv7.1)	Pathogenic	TM	252.17391304
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	231.206071577
	Polymorphism	NOTM	13.456996317
KCNQ2(Kv7.2)	Pathogenic	TM	136.645962726
	Polymorphism	TM	0
	Pathogenic	NOTM	151.875298609
	Polymorphism	NOTM	3.447802198
KCNQ3(Kv7.3)	Pathogenic	TM	4.545454545
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	25.340308496
	Polymorphism	NOTM	1.151631478
KCNQ4(Kv7.4)	Pathogenic	TM	9.523809524
	Polymorphism	TM	0
	Pathogenic	NOTM	39.800355591
	Polymorphism	NOTM	0.529100529
KCNQ5(Kv7.5)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNV1(Kv8.1)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.476190476
KCNV2(Kv8.2)	Pathogenic	TM	4.761904762
	Polymorphism	TM	0
	Pathogenic	NOTM	6.674573055
	Polymorphism	NOTM	4.998746912
KCNS1(Kv9.1)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	3.225806452
KCNS2(Kv9.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNS3(Kv9.3)	Pathogenic	TM	0
	Polymorphism	TM	4.347826087
	Pathogenic	NOTM	0
	Polymorphism	NOTM	1.282051282
KCNH1(Kv10.1)	Pathogenic	TM	45.31338228
	Polymorphism	TM	0
	Pathogenic	NOTM	16.032817601
	Polymorphism	NOTM	0
KCNH5(Kv10.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.19193858
KCNH2(Kv11.1)	Pathogenic	TM	142.857142864
	Polymorphism	TM	4.761904762
	Pathogenic	NOTM	93.167564692
	Polymorphism	NOTM	4.888833747
KCNH6(Kv11.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.590181099
KCNH7(Kv11.3)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.187265918
KCNH8(Kv12.1)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0.313479624
KCNH3(Kv12.2)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
KCNH4(Kv12.3)	Pathogenic	TM	0
	Polymorphism	TM	0
	Pathogenic	NOTM	0
	Polymorphism	NOTM	0
