GeneName	ProteinName	Pathogenicity	N-terminal	S1	S2	S3	S4	S5	PoreLoop	S6	ELs	ILs	C-terminal
KCNC1	Kv3.1	1	0	0	0	0	1	0	0	3	0	0	0
		0	0	0	0	0	0	0	0	0	1	0	0
KCNC2	Kv3.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNC3	Kv3.3	1	0	0	0	0	3	1	0	1	0	0	1
		0	5	0	0	0	0	0	0	0	0	0	1
KCNC4	Kv3.4	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	1	0	0	0	0	0	0	2
KCND1	Kv4.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCND2	Kv4.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	1	0	0	0	0	0	0	0	0
KCND3	Kv4.3	1	0	0	0	0	0	1	5	3	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	1
KCNF1	Kv5.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNG1	Kv6.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	1	0	0	0	0	0	0	0
KCNG2	Kv6.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNG3	Kv6.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNG4	Kv6.4	1	0	0	0	0	0	0	0	0	0	0	0
		0	2	0	0	0	0	0	1	0	3	0	0
KCNQ1	Kv7.1	1	7	7	1	9	14	13	23	13	2	26	44
		0	1	0	0	1	0	0	1	0	0	0	4
KCNQ2	Kv7.2	1	2	3	2	4	19	9	31	11	5	13	50
		0	2	0	0	0	0	0	0	0	0	0	12
KCNQ3	Kv7.3	1	0	0	0	0	2	0	6	1	1	3	4
		0	0	0	0	0	0	0	0	0	0	0	9
KCNQ4	Kv7.4	1	0	0	0	1	0	0	13	1	0	2	2
		0	1	0	0	0	0	0	0	0	0	0	2
KCNQ5	Kv7.5	1	0	1	0	0	0	0	0	1	0	0	2
		0	0	0	0	0	0	0	0	0	0	0	0
KCNV1	Kv8.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	1	0	0	0	0	0	0	0	0	0	0
KCNV2	Kv8.2	1	1	1	0	0	0	0	1	0	4	0	0
		0	2	0	0	0	0	0	0	0	2	1	2
KCNS1	Kv9.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	2
KCNS2	Kv9.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNS3	Kv9.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	1	0	0	0	0	0	0	0	1
KCNH1	Kv10.1	1	1	0	0	0	6	3	1	3	1	1	3
		0	0	0	0	0	0	0	0	0	0	0	0
KCNH5	Kv10.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	1	0	0	0	0	3
KCNH2	Kv11.1	1	40	3	2	3	2	10	41	6	3	4	38
		0	4	0	0	0	1	0	0	0	0	0	10
KCNH6	Kv11.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	1	0	0	0	0	0	0	0	0	0	1
KCNH7	Kv11.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	1
KCNH8	Kv12.1	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	2
KCNH3	Kv12.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNH4	Kv12.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
SCN1A	Nav1.1	1	26	25	32	27	61	54	180	68	16	89	40
		0	1	1	0	0	0	0	1	1	0	9	6
SCN2A	Nav1.2	1	3	7	7	7	18	15	23	10	7	51	5
		0	2	0	0	0	0	0	3	0	0	4	1
SCN3A	Nav1.3	1	0	0	0	0	1	0	2	1	1	4	0
		0	0	0	0	0	0	0	0	0	0	4	3
SCN4A	Nav1.4	1	1	3	0	3	24	4	3	8	1	20	1
		0	6	3	0	0	0	0	4	2	1	12	3
SCN5A	Nav1.5	1	5	4	6	7	18	6	28	12	7	37	22
		0	3	2	0	0	2	0	2	0	0	16	7
SCN8A	Nav1.6	1	0	1	1	7	18	8	2	8	5	30	9
		0	1	0	0	0	0	0	0	0	0	9	0
SCN9A	Nav1.7	1	0	1	0	1	7	2	2	3	1	25	1
		0	1	1	2	2	0	0	3	2	2	20	3
SCN10A	Nav1.8	1	0	0	0	0	0	1	0	0	0	0	0
		0	5	0	2	1	0	0	7	4	2	18	4
SCN11A	Nav1.9	1	0	1	0	0	3	1	0	5	0	1	0
		0	1	0	0	0	1	1	7	1	0	10	3
